Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 16:04,6/11/14 16:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 16:34,6/11/14 16:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 17:04,6/11/14 17:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 17:34,6/11/14 17:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 18:04,6/11/14 18:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 18:34,6/11/14 18:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 19:04,6/11/14 19:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 8:34,6/12/14 8:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 9:04,6/12/14 9:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 9:34,6/12/14 9:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 10:04,6/12/14 10:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 10:35,6/12/14 10:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 11:05,6/12/14 11:05,"0 d, 0 h, 0 m, 0 s",0,414,
